iter	Passed	Remaining
0	171	170838
1	172	86317
2	174	58122
3	176	44003
4	178	35590
5	180	29929
6	182	25884
7	184	22878
8	186	20520
9	188	18632
10	189	17078
11	191	15791
12	193	14706
13	195	13770
14	197	12967
15	198	12234
16	200	11580
17	201	11007
18	203	10511
19	205	10061
20	206	9645
21	208	9277
22	210	8928
23	211	8604
24	213	8308
25	214	8032
26	215	7778
27	217	7544
28	218	7322
29	220	7115
30	221	6926
31	223	6759
32	224	6589
33	226	6429
34	227	6280
35	229	6137
36	230	6000
37	232	5873
38	233	5754
39	234	5638
40	236	5535
41	238	5442
42	240	5344
43	241	5246
44	242	5154
45	244	5065
46	246	4996
47	248	4934
48	250	4869
49	252	4798
50	254	4730
51	255	4657
52	256	4586
53	257	4517
54	259	4460
55	261	4404
56	262	4345
57	263	4285
58	265	4237
59	266	4181
60	268	4126
61	269	4074
62	270	4022
63	271	3973
64	272	3924
65	274	3877
66	275	3832
67	275	3780
68	277	3738
69	278	3696
70	279	3661
71	281	3622
72	282	3584
73	283	3547
74	284	3511
75	285	3475
76	287	3440
77	288	3406
78	289	3373
79	290	3341
80	291	3309
81	292	3278
82	294	3251
83	295	3222
84	296	3189
85	297	3162
86	298	3131
87	299	3104
88	300	3078
89	301	3052
90	303	3027
91	304	3002
92	305	2978
93	306	2955
94	307	2933
95	309	2911
96	310	2888
97	311	2868
98	312	2847
99	313	2825
100	315	2805
101	315	2780
102	316	2760
103	318	2741
104	319	2721
105	320	2703
106	321	2685
107	322	2667
108	324	2649
109	325	2632
110	326	2615
111	327	2598
112	328	2581
113	329	2564
114	331	2548
115	332	2531
116	333	2515
117	334	2501
118	335	2484
119	336	2470
120	337	2455
121	339	2440
122	339	2422
123	340	2408
124	342	2394
125	343	2380
126	344	2367
127	345	2351
128	346	2338
129	347	2325
130	348	2314
131	350	2302
132	351	2290
133	352	2278
134	353	2266
135	354	2254
136	356	2242
137	357	2230
138	358	2218
139	359	2207
140	360	2196
141	361	2185
142	363	2178
143	365	2170
144	366	2162
145	368	2156
146	370	2147
147	371	2140
148	373	2133
149	375	2125
150	376	2118
151	378	2111
152	380	2104
153	381	2097
154	383	2091
155	384	2081
156	385	2072
157	387	2062
158	388	2053
159	389	2044
160	390	2036
161	391	2027
162	393	2018
163	394	2010
164	395	2001
165	396	1992
166	397	1984
167	398	1975
168	400	1967
169	401	1959
170	402	1952
171	404	1945
172	406	1940
173	407	1935
174	409	1928
175	410	1923
176	412	1918
177	414	1913
178	415	1907
179	417	1902
180	418	1893
181	419	1887
182	421	1880
183	422	1874
184	424	1868
185	425	1862
186	427	1857
187	428	1852
188	430	1846
189	431	1840
190	433	1834
191	434	1828
192	435	1822
193	437	1816
194	438	1810
195	439	1804
196	441	1800
197	443	1794
198	444	1788
199	445	1782
200	447	1777
201	448	1772
202	450	1766
203	451	1761
204	452	1756
205	454	1750
206	455	1745
207	457	1740
208	461	1746
209	462	1740
210	463	1734
211	465	1728
212	466	1724
213	468	1720
214	469	1714
215	470	1708
216	472	1705
217	474	1700
218	475	1695
219	476	1690
220	478	1685
221	480	1683
222	481	1678
223	482	1673
224	484	1667
225	485	1662
226	487	1659
227	488	1654
228	489	1649
229	491	1644
230	492	1638
231	493	1633
232	494	1628
233	495	1623
234	497	1618
235	498	1613
236	499	1607
237	500	1602
238	502	1599
239	503	1595
240	505	1590
241	506	1585
242	507	1580
243	508	1576
244	509	1571
245	511	1566
246	512	1561
247	513	1556
